"Package","Version","LibPath","Depends","Imports","LinkingTo","Remotes","GithubRepo","GithubUsername","GithubRef","GithubSHA1","GithubSubFolder","Repository","GitSubFolder"
"R","4.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abind","1.4-5","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","","methods, utils","","",NA,NA,NA,NA,NA,"CRAN",NA
"animation","2.7","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","","magick","","",NA,NA,NA,NA,NA,"RSPM",NA
"ape","5.7-1","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","","nlme, lattice, graphics, methods, stats, utils, parallel, Rcpp        (>= 0.12.0), digest","","",NA,NA,NA,NA,NA,"CRAN",NA
"archive","1.1.6","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","","cli, glue, rlang, tibble","","",NA,NA,NA,NA,NA,"CRAN",NA
"arm","1.13-1","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","MASS, Matrix (>= 1.0), stats, lme4 (>= 1.0)","abind, coda, graphics, grDevices, methods, nlme, utils","","",NA,NA,NA,NA,NA,"CRAN",NA
"arrow","13.0.0.1","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","","assertthat, bit64 (>= 0.9-7), glue, methods, purrr, R6, rlang        (>= 1.0.0), stats, tidyselect (>= 1.0.0), utils, vctrs","","",NA,NA,NA,NA,NA,"CRAN",NA
"askpass","1.2.0","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","","sys (>= 2.1)","","",NA,NA,NA,NA,NA,"CRAN",NA
"assertthat","0.2.1","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","","tools","","",NA,NA,NA,NA,NA,"CRAN",NA
"backports","1.4.1","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","","","","",NA,NA,NA,NA,NA,"CRAN",NA
"BalancedSampling","1.6.3","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","","Rcpp (>= 0.11.1), SamplingBigData","","",NA,NA,NA,NA,NA,"CRAN",NA
"base64enc","0.1-3","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","","","","",NA,NA,NA,NA,NA,"CRAN",NA
"bbmle","1.0.25","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","stats4","stats, numDeriv, lattice, MASS, methods, bdsmatrix, Matrix, mvtnorm","","",NA,NA,NA,NA,NA,"CRAN",NA
"bdsmatrix","1.3-6","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","methods","","","",NA,NA,NA,NA,NA,"CRAN",NA
"benchmarkme","1.0.8","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","","benchmarkmeData (>= 1.0.4), compiler, doParallel, dplyr, foreach, graphics, httr, Matrix, methods, parallel, stringr, tibble, utils","","",NA,NA,NA,NA,NA,"CRAN",NA
"benchmarkmeData","1.0.4","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","","dplyr, graphics, tibble, utils","","",NA,NA,NA,NA,NA,"CRAN",NA
"BH","1.81.0-1","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","","","","",NA,NA,NA,NA,NA,"CRAN",NA
"bigassertr","0.1.6","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","","","","",NA,NA,NA,NA,NA,"CRAN",NA
"bigreadr","0.2.5","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","","bigassertr (>= 0.1.1), data.table, parallelly, Rcpp, utils","","",NA,NA,NA,NA,NA,"CRAN",NA
"bit","4.0.5","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","","","","",NA,NA,NA,NA,NA,"CRAN",NA
"bit64","4.0.5","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","bit (>= 4.0.0), utils, methods, stats","","","",NA,NA,NA,NA,NA,"CRAN",NA
"bitops","1.0-7","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","","","","",NA,NA,NA,NA,NA,"CRAN",NA
"blme","1.0-5","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","lme4 (>= 1.0-6)","methods, stats, utils","","",NA,NA,NA,NA,NA,"CRAN",NA
"blob","1.2.4","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","","methods, rlang, vctrs (>= 0.2.1)","","",NA,NA,NA,NA,NA,"CRAN",NA
"box","1.1.3","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","","tools","","",NA,NA,NA,NA,NA,"CRAN",NA
"brew","1.0-8","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","","","","",NA,NA,NA,NA,NA,"CRAN",NA
"brio","1.1.3","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","","","","",NA,NA,NA,NA,NA,"CRAN",NA
"broom","1.0.5","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","","backports, dplyr (>= 1.0.0), ellipsis, generics (>= 0.0.2), glue, lifecycle, purrr, rlang, stringr, tibble (>= 3.0.0), tidyr (>= 1.0.0)","","",NA,NA,NA,NA,NA,"CRAN",NA
"broom.mixed","0.2.9.4","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","","broom, coda, dplyr, forcats, methods, nlme, purrr, stringr, tibble, tidyr, furrr","","",NA,NA,NA,NA,NA,"CRAN",NA
