Package,Version,LibPath,Depends,Imports,LinkingTo,Remotes,GithubRepo,GithubUsername,GithubRef,GithubSHA1,GithubSubFolder,Repository,GitSubFolder
"R","4.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"askpass","1.2.1","/tmp/RtmpURv7cY/snapshotLib","","sys (>= 2.1)","","",NA,NA,NA,NA,NA,"RSPM",NA
"assertthat","0.2.1","/tmp/RtmpURv7cY/snapshotLib","","tools","","",NA,NA,NA,NA,NA,"RSPM",NA
"backports","1.4.1","/tmp/RtmpURv7cY/snapshotLib","","","","",NA,NA,NA,NA,NA,"RSPM",NA
"BH","1.90.0-1","/tmp/RtmpURv7cY/snapshotLib","","","","",NA,NA,NA,NA,NA,"RSPM",NA
"bit","4.6.0","/tmp/RtmpURv7cY/snapshotLib","","","","",NA,NA,NA,NA,NA,"RSPM",NA
"bit64","4.8.4","/tmp/RtmpURv7cY/snapshotLib","","bit (>= 4.0.0), graphics, methods, stats, utils","","",NA,NA,NA,NA,NA,"RSPM",NA
"bitops","1.0-7","/tmp/RtmpURv7cY/snapshotLib","","","","",NA,NA,NA,NA,NA,"RSPM",NA
"callr","3.8.0","/tmp/RtmpURv7cY/snapshotLib","","otel (>= 0.2.0), processx (>= 3.6.1), R6, utils","","",NA,NA,NA,NA,NA,"RSPM",NA
"cli","3.6.6","/tmp/RtmpURv7cY/snapshotLib","","utils","","",NA,NA,NA,NA,NA,"RSPM",NA
"crayon","1.5.3","/tmp/RtmpURv7cY/snapshotLib","","grDevices, methods, utils","","",NA,NA,NA,NA,NA,"RSPM",NA
"curl","8.0.0","/tmp/RtmpURv7cY/snapshotLib","","","","",NA,NA,NA,NA,NA,"RSPM",NA
"data.table","1.18.6.1","/tmp/RtmpURv7cY/snapshotLib","","methods","","",NA,NA,NA,NA,NA,"RSPM",NA
"digest","0.6.39","/tmp/RtmpURv7cY/snapshotLib","","utils","","",NA,NA,NA,NA,NA,"RSPM",NA
"dplyr","1.2.1","/tmp/RtmpURv7cY/snapshotLib","","cli (>= 3.6.2), generics, glue (>= 1.3.2), lifecycle (>=        1.0.5), magrittr (>= 1.5), methods, pillar (>= 1.9.0), R6, rlang (>= 1.1.7), tibble (>= 3.2.0), tidyselect (>= 1.2.0), utils, vctrs (>= 0.7.1)","","",NA,NA,NA,NA,NA,"RSPM",NA
"dqrng","0.4.1","/tmp/RtmpURv7cY/snapshotLib","","Rcpp (>= 0.12.16)","","",NA,NA,NA,NA,NA,"RSPM",NA
