"instPkgs" "instVers"
"A3" "1.0.0"
"abind" "1.4-5"
"acepack" "1.4.1"
"alphavantager" "0.1.1"
"amc" "0.1.6.9000"
"animation" "2.6"
"archivist" "2.3.4"
"arm" "1.10-1"
"askpass" "1.1"
"assertthat" "0.2.1"
"backports" "1.1.5"
"base64enc" "0.1-3"
"BH" "1.72.0-3"
"BiocManager" "1.30.10"
"bit" "1.1-15.2"
"bit64" "0.9-7"
"bitops" "1.0-6"
"blme" "1.0-4"
"blob" "1.2.1"
"boot" "1.3-24"
"brew" "1.0-6"
"broom" "0.5.3"
"callr" "3.4.3"
"car" "3.0-7"
"carData" "3.0-3"
"cellranger" "1.1.0"
"checkmate" "1.9.4"
"CircStats" "0.2-6"
"classInt" "0.4-2"
"cli" "2.0.2"
"clipr" "0.7.0"
"clisymbols" "1.2.0"
"coda" "0.19-3"
"colorspace" "1.4-1"
"combinat" "0.0-8"
"commonmark" "1.7"
"covr" "3.5.0"
"crancache" "0.0.0.9001"
"cranlike" "1.0.2"
"cranlogs" "2.1.1"
"crayon" "1.3.4"
"crosstalk" "1.0.0"
"crul" "0.9.0"
"curl" "4.3"
"data.table" "1.12.8"
"DBI" "1.1.0"
"dbplyr" "1.4.2"
"debugme" "1.1.0"
"DEoptim" "2.2-4"
"desc" "1.2.0"
"devtools" "2.2.1"
"diagram" "1.6.4"
"DiagrammeR" "1.0.5"
"digest" "0.6.25"
"dismo" "1.1-4"
"dlstats" "0.1.3"
"doParallel" "1.0.15"
"downloader" "0.4"
"dplyr" "0.8.5"
"DT" "0.13"
"e1071" "1.7-3"
"effsize" "0.7.6"
"ellipsis" "0.3.0"
"emptyPackage" "0.1.0"
"EnvStats" "2.3.1"
"evaluate" "0.14"
"fansi" "0.4.1"
"farver" "2.0.3"
"fastdigest" "0.6-3"
"fasterize" "1.0.0"
"fastmap" "1.0.1"
"fastmatch" "1.1-0"
"fastshp" "0.1-2"
"ff" "2.2-14"
"ffbase" "0.12.7"
"Finance" "1.0"
"flock" "0.7"
"forcats" "0.4.0"
"foreach" "1.4.7"
"foreign" "0.8-72"
"formatR" "1.7"
"Formula" "1.2-3"
"fpCompare" "0.2.3"
"fs" "1.3.1"
"fst" "0.9.0"
"futile.logger" "1.4.3"
"futile.options" "1.0.1"
"future" "1.16.0"
"future.apply" "1.3.0"
"future.callr" "0.5.0"
"gamlss" "5.1-5"
"gamlss.data" "5.1-4"
"gamlss.dist" "5.1-5"
"gargle" "0.4.0"
"gbm" "2.1.5"
"gdalUtils" "2.0.3"
"generics" "0.0.2"
"geojson" "0.3.2"
"geojsonio" "0.8.0"
"geojsonlint" "0.3.0"
"ggimage" "0.2.5"
"ggmap" "3.0.0.901"
"ggplot2" "3.2.1"
"ggplotify" "0.0.4"
"gh" "1.1.0"
"git2r" "0.26.1"
