"Package","LibPath","Version","GithubRepo","GithubUsername","GithubRef","GithubSHA1"
"abind","C:/Eliot/GitHub/Require/packages5/x86_64-w64-mingw32/4.2","1.4-5",NA,NA,NA,NA
"amc","C:/Eliot/GitHub/Require/packages5/x86_64-w64-mingw32/4.2","0.2.1","amc","achubaty","development","3330753132d4dca15011e4e64db5ccea28e3b8c4"
"arm","C:/Eliot/GitHub/Require/packages5/x86_64-w64-mingw32/4.2","1.13-1",NA,NA,NA,NA
"askpass","C:/Eliot/GitHub/Require/packages5/x86_64-w64-mingw32/4.2","1.1",NA,NA,NA,NA
"assertthat","C:/Eliot/GitHub/Require/packages5/x86_64-w64-mingw32/4.2","0.2.1",NA,NA,NA,NA
"backports","C:/Eliot/GitHub/Require/packages5/x86_64-w64-mingw32/4.2","1.4.1",NA,NA,NA,NA
"base64enc","C:/Eliot/GitHub/Require/packages5/x86_64-w64-mingw32/4.2","0.1-3",NA,NA,NA,NA
"bit","C:/Eliot/GitHub/Require/packages5/x86_64-w64-mingw32/4.2","4.0.4",NA,NA,NA,NA
"bit64","C:/Eliot/GitHub/Require/packages5/x86_64-w64-mingw32/4.2","4.0.5",NA,NA,NA,NA
"bitops","C:/Eliot/GitHub/Require/packages5/x86_64-w64-mingw32/4.2","1.0-7",NA,NA,NA,NA
"blme","C:/Eliot/GitHub/Require/packages5/x86_64-w64-mingw32/4.2","1.0-5",NA,NA,NA,NA
"blob","C:/Eliot/GitHub/Require/packages5/x86_64-w64-mingw32/4.2","1.2.3",NA,NA,NA,NA
"brew","C:/Eliot/GitHub/Require/packages5/x86_64-w64-mingw32/4.2","1.0-8",NA,NA,NA,NA
"brio","C:/Eliot/GitHub/Require/packages5/x86_64-w64-mingw32/4.2","1.1.3",NA,NA,NA,NA
"broom","C:/Eliot/GitHub/Require/packages5/x86_64-w64-mingw32/4.2","1.0.1",NA,NA,NA,NA
"broom.mixed","C:/Eliot/GitHub/Require/packages5/x86_64-w64-mingw32/4.2","0.2.9.4",NA,NA,NA,NA
"bslib","C:/Eliot/GitHub/Require/packages5/x86_64-w64-mingw32/4.2","0.4.0",NA,NA,NA,NA
"cachem","C:/Eliot/GitHub/Require/packages5/x86_64-w64-mingw32/4.2","1.0.6",NA,NA,NA,NA
"callr","C:/Eliot/GitHub/Require/packages5/x86_64-w64-mingw32/4.2","3.7.2",NA,NA,NA,NA
"car","C:/Eliot/GitHub/Require/packages5/x86_64-w64-mingw32/4.2","3.1-0",NA,NA,NA,NA
"carData","C:/Eliot/GitHub/Require/packages5/x86_64-w64-mingw32/4.2","3.0-5",NA,NA,NA,NA
"checkmate","C:/Eliot/GitHub/Require/packages5/x86_64-w64-mingw32/4.2","2.1.0",NA,NA,NA,NA
"CircStats","C:/Eliot/GitHub/Require/packages5/x86_64-w64-mingw32/4.2","0.2-6",NA,NA,NA,NA
"classInt","C:/Eliot/GitHub/Require/packages5/x86_64-w64-mingw32/4.2","0.4-8",NA,NA,NA,NA
"cli","C:/Eliot/GitHub/Require/packages5/x86_64-w64-mingw32/4.2","3.4.1",NA,NA,NA,NA
"clipr","C:/Eliot/GitHub/Require/packages5/x86_64-w64-mingw32/4.2","0.8.0",NA,NA,NA,NA
"coda","C:/Eliot/GitHub/Require/packages5/x86_64-w64-mingw32/4.2","0.19-4",NA,NA,NA,NA
"colorspace","C:/Eliot/GitHub/Require/packages5/x86_64-w64-mingw32/4.2","2.0-3",NA,NA,NA,NA
"commonmark","C:/Eliot/GitHub/Require/packages5/x86_64-w64-mingw32/4.2","1.8.0",NA,NA,NA,NA
"corrplot","C:/Eliot/GitHub/Require/packages5/x86_64-w64-mingw32/4.2","0.92",NA,NA,NA,NA
"cowplot","C:/Eliot/GitHub/Require/packages5/x86_64-w64-mingw32/4.2","1.1.1",NA,NA,NA,NA
"cpp11","C:/Eliot/GitHub/Require/packages5/x86_64-w64-mingw32/4.2","0.4.2",NA,NA,NA,NA
"crayon","C:/Eliot/GitHub/Require/packages5/x86_64-w64-mingw32/4.2","1.5.2",NA,NA,NA,NA
"credentials","C:/Eliot/GitHub/Require/packages5/x86_64-w64-mingw32/4.2","1.3.2",NA,NA,NA,NA
"curl","C:/Eliot/GitHub/Require/packages5/x86_64-w64-mingw32/4.2","4.3.3",NA,NA,NA,NA
"data.table","C:/Eliot/GitHub/Require/packages5/x86_64-w64-mingw32/4.2","1.14.2",NA,NA,NA,NA
"DBI","C:/Eliot/GitHub/Require/packages5/x86_64-w64-mingw32/4.2","1.1.3",NA,NA,NA,NA
"deldir","C:/Eliot/GitHub/Require/packages5/x86_64-w64-mingw32/4.2","1.0-6",NA,NA,NA,NA
"DEoptim","C:/Eliot/GitHub/Require/packages5/x86_64-w64-mingw32/4.2","2.2-6",NA,NA,NA,NA
"desc","C:/Eliot/GitHub/Require/packages5/x86_64-w64-mingw32/4.2","1.4.2",NA,NA,NA,NA
"devtools","C:/Eliot/GitHub/Require/packages5/x86_64-w64-mingw32/4.2","2.4.4",NA,NA,NA,NA
"diffobj","C:/Eliot/GitHub/Require/packages5/x86_64-w64-mingw32/4.2","0.3.5",NA,NA,NA,NA
"digest","C:/Eliot/GitHub/Require/packages5/x86_64-w64-mingw32/4.2","0.6.29",NA,NA,NA,NA
